Title,Acronym,CORE2023,CORE2021,CORE2020,CORE2018,CORE2017,CORE2014,CORE2013,ERA2010,h5_index,h5_median
ACM International Workshop On Multimedia Databases,MMDB,,,,C,C,C,C,C,,
ACM Multimedia,ACMMM,A*,A*,A*,A*,A*,A*,A*,A,101.0,138.0
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,A*,A*,A*,A*,A*,A*,A*,A,,
ACM SIGCHI_NZ Conference on Human-Computer Interaction,SIGCHI-NZ,,,,Australasian,Australasian,Australasian,Australasian,C,,
ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,B,B,B,B,B,B,B,B,,
ACM SIGIR Workshop on XML and Information Retrieval,SIGIR/XML,,,,C,C,C,C,C,,
ACM SIGMIS Computers and People Research,ACM-SIGMIS CPR,,,,B,B,B,B,B,,
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,A,B,B,B,B,B,B,B,,
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,A*,A*,A*,A*,A*,A*,A*,A,24.0,30.0
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,A*,A*,A*,A*,A*,A*,A*,A,,
"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems",LCTES,B,B,A,A,A,A,A,A,,
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,C,C,B,B,B,B,B,B,,
ACM SIGPLAN Workshop on Types in Language Design and Implementation (was TIC),TLDI,,,,C,C,C,C,C,,
ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,B,B,B,B,B,B,B,B,,
ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,PASTE,,,,,B,B,B,B,,
ACM SIGUCCS Conference on User Services,SIGUCCS,National: USA,National: USA,National: USA,C,C,C,C,C,,
ACM Special Interest Group on Computer Science Education Conference,SIGCSE,A,A,A,A,A,A,A,A,,
ACM Special Interest Group on Management of Data Conference,SIGMOD,A*,A*,A*,A*,A*,A*,A*,A,,
ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,B,,,B,B,B,B,B,,
"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)",SACMAT,C,C,C,C,C,C,C,C,16.0,28.0
ACM Symposium on Applied Computing,SAC,Multiconference,Multiconference,B,B,B,B,B,B,36.0,50.0
ACM Symposium on Document Engineering,DocEng,B,B,B,B,B,B,A,,13.0,21.0
ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,A,A,A,A,A,A,A,A,24.0,42.0
ACM Symposium on Principles of Database Systems,SPDS,,,,C,C,C,C,C,24.0,30.0
ACM Symposium on Principles of Distributed Computing,PODC,A*,A*,A*,A*,A*,A*,A*,A,30.0,51.0
ACM Symposium on Software Reusability,SSR,,,,A,A,A,A,,,
ACM Symposium on Solid and Physical Modelling,SPM,C,B,B,B,B,B,B,B,,
ACM Symposium on Theory of Computing,STOC,A*,A*,A*,A*,A*,A*,A*,A,57.0,84.0
ACM Symposium on User Interface Software and Technology,UIST,A*,A*,A,A,A,A,A,A,51.0,72.0
ACM Virtual Reality Software and Technology,VRST,A,A,A,A,A,A,A,A,26.0,38.0
ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code,FMSE,,,,C,C,C,C,C,,
ACM Workshop on Hot Topics in Networks,HOTNETS,National: USA,National: USA,National: USA,A,A,A,A,A,22.0,32.0
ACM Workshop on Hot Topics in Software Upgrades,HotSWUp,,,,C,C,C,C,C,,
ACM Workshop on Role Based Access Control (now SACMAT),RBAC,,,,,,C,C,C,,
ACM Workshop on Scalable Trusted Computing,STC,,,,B,B,B,B,B,,
ACM Workshop on Secure Web Services,SWS,,,,C,C,C,C,C,,
ACM Workshop on Web Information and Data Management,WIDM,,,,B,B,B,B,B,,
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,A*,A*,A*,A*,A*,A*,A*,A,,
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,A*,A*,A*,A*,A*,A*,A*,A,51.0,82.0
ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,B,B,B,B,B,B,A*,A,,
ACM/IEEE International Conference on Distributed Smart Cameras,ICDSC,,B,B,B,B,B,B,B,,
ACM/IEEE International Conference on Human-Robot Interaction,HRI,A,,,,,,,,54.0,76.0
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,A,A,A,A,A,A,A,A,,
ACM/IEEE Symposium on Edge Computing,SEC,unranked,unranked,,,,,,,17.0,26.0
ACM/IFIP/USENIX International Middleware Conference,Middleware,A,A,A,A,A,A,A,A,,
ACM/SIAM Symposium on Discrete Algorithms,SODA,A*,A*,A*,A*,A*,A*,A*,A,55.0,77.0
ACM/SPEC International Conference on Performance Engineering,ICPE,B,B,,,,,,,23.0,32.0
ACM/SPIE Multimedia Computing and Networking,MMCN,,,,A,A,A,A,A,,
ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,C,C,C,C,C,C,C,C,,
ASIAN Symposium on Programming Languages and Systems,APLAS,B,B,B,B,B,B,B,B,,
Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,,,,Australasian,Australasian,Australasian,Australasian,C,,
Active and Real-Time Database Systems,ARTDB,,,,C,C,C,C,C,,
Advanced Concepts for Intelligent Vision Systems,ACIVS,B,B,B,B,B,B,B,B,,
Advanced Course on Artificial Intelligence,ACAI,,,,C,C,C,C,C,,
Advanced Research in VLSI,ARVLSI,,,,C,C,C,C,C,,
Advanced Visual Interfaces,AVI,B,B,B,B,B,B,B,B,15.0,22.0
Advances in Cryptology,CRYPTO,A*,A*,A*,A*,A*,A*,A*,A,61.0,95.0
Advances in Information Systems,ADVIS,,,,C,C,C,C,C,27.0,36.0
Advances in Intelligent Systems,AIS,,,,C,C,C,C,C,40.0,48.0
Advances in Modal Logic,AiML,B,B,A,A,A,A,A,A,,
Advances in Neural Information Processing Systems (was NIPS),NeurIPS,A*,A*,A*,A*,A*,A*,A*,A,,
Advances in the Theory of Computing,AITC,,,,C,C,C,C,C,,
Agent-Oriented Information Systems Workshop,AOIS,,,,,,B,B,B,,
Algebraic Methodology and Software Technology,AMAST,,,,C,C,C,C,C,,
Algorithmic Learning Theory,ALT,B,B,B,B,B,B,A,A,34.0,52.0
Algorithms and Complexity in Durham,ACID,,,,C,C,C,C,C,,
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,B,B,B,B,B,B,A,A,14.0,17.0
Algorithms and Experiments,ALEX,,,,B,B,B,B,,,
Ambient Intelligence Developments,Aml.d,,,,C,C,C,C,C,,
American Federation of Information Processing Societies,AFIPS,,,,A,,,,C,,
American Medical Informatics Annual Fall Symposium,AMIA,National: USA,National: USA,National: USA,A,A,A,A,,,
Americas Conference on Information Systems,AMCIS,,,,A,A,A,A,A,29.0,43.0
Annual Computer Security Applications Conference,ACSAC,A,National: usa,National: usa,A,A,A,A,A,,
Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,,,,Australasian,Australasian,Australasian,Australasian,C,,
Annual Conference of the International Academy for Information Management,IAIM,,,,C,C,C,C,C,,
Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,,,,,,A,A,A,,
Annual Conference on Computer Science Logic,CSL,B,B,B,B,B,B,B,,16.0,19.0
Annual Conference on Evolutionary Programming,EP,,,,C,C,C,C,C,,
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,B,A,A,A,A,A,A,A,,
"Annual Conference on Privacy, Security and Trust",PST,C,C,C,C,C,C,C,C,,
"Annual Convention for Survey, Mapping and Remote Sensing",RS,,,,C,C,C,C,C,,
Annual Fall Workshop on Computational Geometry,CGW,,,,C,C,C,C,C,,
"Annual IASTED International Conference on Networks, Parallel and Distributed Processing and Applications",NPDP,,,,,,C,C,,,
Annual International Conference on Ada,TRI-Ada,,,,C,C,C,C,C,,
Annual International Workshop on Presence,ISPR,C,B,B,B,B,B,B,B,,
Annual Meeting of the Cognitive Science Society,CogSci,B,A,A,A,A,A,A,A,32.0,46.0
Annual Meeting of the Decision Sciences Institute,DSI,,,,C,C,C,C,C,,
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,B,B,C,C,C,C,C,C,31.0,48.0
Annual PKI R&D Workshop,PKI,,,,C,C,C,C,C,,
Annual PPIG Workshop,PPIG,,,,B,B,B,B,B,,
Annual Simulation Symposium,ANSS,,,,B,B,C,C,C,13.0,21.0
AoM Organizational Communication and Information Systems,OCIS,,,,A,A,A,A,A,,
Apple University Consortium Academic and Developers Conference,AUCADC,,,,C,C,C,C,C,,
Application of Computers and Operations Research in the Minerals Industries,APCOMin,,,,A,A,A,A,A,,
Application of Concurrency to System Design,ACSD,,B,B,B,B,B,B,B,,
Applications of Information Visualization,IV-App,C,C,C,C,C,C,C,C,,
Applications of Natural Language to Data Bases,NLDB,C,C,C,C,C,C,C,C,18.0,28.0
Applied Computing Conference,ACC,C,C,C,C,C,C,C,C,133.0,171.0
Applied Perception in Graphics and Visualization,APGV,,,,C,C,C,C,C,,
Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*,A*,A*,A*,A*,A*,A*,A,71.0,122.0
Argentine Symposium on Artificial Intelligence,ASAI,,,,,C,C,C,C,,
Artificial Intelligence Applications and Innovations,AIAI,C,C,Regional,Regional,,,,,25.0,36.0
Artificial Intelligence and Applications Conference,AIA,,,,C,C,C,C,,25.0,36.0
Artificial Intelligence in Knowledge Management,AIKM,,,,C,C,C,C,C,8.0,13.0
Artificial Intelligence in Medicine,AIIM,,,,A,A,A,A,A,78.0,124.0
Artificial Neural Networks in Engineering Conference,ANNIE,,,,B,B,B,B,B,,
"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,C,C,C,C,C,C,C,C,,
"Asia Conference on Information, Computer and Communications Security",AsiaCCS,A,A,B,B,B,B,B,B,,
Asia Information Retrieval Symposium,AIRS,,C,C,C,C,C,C,C,,
Asia International Conference on Modelling and Simulation,AMS,,,,C,C,C,C,C,,
Asia Pacific Conference on Communications,APCC,C,C,B,B,B,B,B,B,11.0,17.0
Asia Pacific Conference on Hardware Description Languages (was Asia Pacific CHipDesign Languages),APCHDL,,,,C,C,C,C,C,,
Asia Pacific Decision Science Institute Conference,APDSI,,,,C,C,C,C,C,,
Asia Pacific Research Symposium on Accounting Information Systems,APRSAIS,,,,C,C,C,C,C,,
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,C,C,C,C,C,C,C,C,,
Asia and South Pacific Design Automation Conference,ASPDAC,C,C,C,C,C,C,C,C,38.0,45.0
Asia-Pacific Bioinformatics Conference,APBC,B,B,B,B,B,B,B,B,,
Asia-Pacific Computer Human Interaction Conference,APCHI,,,,C,C,C,C,C,,
Asia-Pacific Conference on Complex Systems,Complex,,,,C,C,C,C,C,,
