Title,Acronym,Rank
Advanced Visual Interfaces,AVI,B
Advances in Cryptology,CRYPTO,A*
Advances in Modal Logic,AiML,B
Advances in Neural Information Processing Systems (was NIPS),NeurIPS,A*
Algorithmic Learning Theory,ALT,B
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,B
American Medical Informatics Annual Fall Symposium,AMIA,National: USA
Annual Computer Security Applications Conference,ACSAC,A
Annual Conference on Computer Science Logic,CSL,B
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,B
"Annual Conference on Privacy, Security and Trust",PST,C
Annual International Workshop on Presence,ISPR,C
Annual Meeting of the Cognitive Science Society,CogSci,B
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,B
Applications of Information Visualization,IV-App,C
Applications of Natural Language to Data Bases,NLDB,C
Applied Computing Conference,ACC,C
Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*
Artificial Intelligence Applications and Innovations,AIAI,C
"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,C
Asia and South Pacific Design Automation Conference,ASPDAC,C
"Asia Conference on Information, Computer and Communications Security",AsiaCCS,A
Asia Pacific Conference on Communications,APCC,C
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,C
Asia-Pacific Bioinformatics Conference,APBC,B
Asia-Pacific Conference on Conceptual Modelling,APCCM,Australasian C
Asia-Pacific Network Operations and Management Symposium,APNOMS,C
Asia-Pacific Services Computing Conference,APSCC,C
Asia-Pacific Software Engineering Conference,APSEC,C
Asian Conference on Computer Vision,ACCV,B
Asian Conference on Intelligent Information and Database Systems,ACIIDS,B
Asian Conference on Machine Learning,ACML,Unranked
ASIAN Symposium on Programming Languages and Systems,APLAS,B
"Asilomar Conference on Signals, Systems and Computing",ACSSC,National: USA
Association for Computational Linguistics,ACL,A*
Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,C
Australasian Computing Education Conference (ACE),ACE,Australasian B
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,Australasian C
Australasian Conference on Information Security and Privacy,ACISP,Australasian B
Australasian Conference on Robotics and Automation,ACRA,Australasian C
Australasian Database Conference,ADC,Australasian B
Australasian Document Computing Symposium,ADCS,Australasian B
Australasian Information Security Conference,AISC,Australasian C
Australasian Joint Conference on Artificial Intelligence,AI,Australasian B
Australasian Language Technology Workshop,ALTA,Australasian C
Australasian Speech Science and Technology,SST,Australasian C
Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,Australasian C
Australian Computer Human Interaction Conference,OZCHI,Australasian B
Australian Data Mining Conference,AusDM,Australasian C
Australian Institute of Computer Ethics Conference,AICE,Australasian C
Automated Software Engineering Conference,ASE,A*
Automation of Software Test,AST,C
Body Sensor Networks,BSN,C
British Computer Society Conference on Human-Computer Interaction,HCI,National
British Machine Vision Conference,BMVC,A
CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CHI PLAY,Journal Published
Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,C
Combinatorial Pattern Matching,CPM,B
Computability in Europe: Logic and Theory of Algorithms,CiE,C
Computational Intelligence in Security for Information Systems,CISIS,National: Spain
Computer Aided Verification,CAV,A*
Computer Algebra in Scientific Computing,CASC,B
"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,C
Computer Graphics International,CGI,C
Computer Sciences and Information Technologies,CSIT,National
Conference for the International Simulation and Gaming Association,ISAGA,C
Conference in Uncertainty in Artificial Intelligence,UAI,A
Conference of the Association for Machine Translation in the Americas,AMTA,National/Regional
Conference of the Association of Asian-Pacific Operational Research Societies,APORS,C
Conference of the European Association for Machine Translation,EAMT,C
Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT,C
Conference on Agile Software Development,XP,B
Conference on Algebra and Coalgebra in Computer Science,CALCO,B
Conference on Algorithmic Aspects in Information and Management,AAIM,C
Conference on Combinatorial Optimization and Applications,COCOA,C
Conference on Computational Natural Language Learning,CoNLL,B
CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS,FedCSIS,Multi-conference
Conference on File and Storage Technologies,FAST,A
Conference on Fun with Algorithms,FUN,National: Italy
Conference on Games (was Computational Intelligence and Games CIG),COG,C
Conference on Information Sciences and Systems,CISS,National: USA
"Conference on Innovation in Clouds, Internet and Networks",ICIN,National: France
Conference on Innovative Data Systems Research,CIDR,A
Conference on Integer Programming and Combinatorial Optimization,IPCO,A
Conference on Intelligent Computer Mathematics,CICM,C
"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,A
Conference on Learning Theory,COLT,A*
Conference on Robot Learning,CoRL,Unranked
Conference on Security and Cryptography for Networks,SCN,National: Italy
"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,C
Conference on Software in Telecommunications and Computer Networks,SOFTCOM,National: Croatia
Conference on Theory and Applications of Models of Computation,TAMC,C
Conference on Visualization and Data Analysis,VDA,National: USA
"Cooperative Design, Visualization, and Engineering",CDVE,C
Cryptographers Track at RSA Conference,CT-RSA,B
Current Trends in Theory and Practice of Computer Science,SOFSEM,B
Data Compression Conference,DCC,B
Data Warehousing and Knowledge Discovery,DaWaK,B
"Datenbanksysteme für Business, Technologie und Web",BTW,National:Germany
Design Automation Conf,DAC,TBR
"Design, Automation and Test in Europe Conference",DATE,B
Designing Interactive Systems,DIS,A
Developments in eSystems Engineering,DeSE,C
Developments in Language Theory,DLT,C
Digital Audio Effects Conference,DAFX,C
Digital Games Research Conference,DIGRA,C
Digital Image Computing Techniques and Applications,DICTA,Australasian C
Discovery Science,DS,B
DNA Computing and Molecular Programming,DNA,B
Dynamic Languages Symposium,DLS,C
Educational Data Mining,EDM,B
"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,B
Empirical Methods in Natural Language Processing,EMNLP,A*
Engineering Interactive Computing Systems,EICS,Journal Published
ETHICOMP Conference,ETHICOMP,C
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,C
Euro Virtual Reality,Euro VR,C
"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,C
Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,C
Eurographics/IEEE Symposium on Visualization,EuroVis,B
Euromicro Conference on Real-Time Systems,ECRTS,B
Euromicro Conference on Software Engineering and Advanced Applications,SEAA,B
"Euromicro International Conference on Parallel, Distributed and Network Based Processing",PDP,C
European Association for Computational Linguistics,EACL,A
European Chapter on Combinatorial Optimization,ECCO,C
European Conference on Artificial Intelligence,ECAI,A
European Conference on Computational Biology,ECCB,C
European Conference on Computer Supported Cooperative Work,ECSCW,B
European Conference on Computer Vision,ECCV,A*
European Conference on Digital Government (was European Conference on e-Government ECEG),ECDG,C
European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,B
European Conference on Genetic Programming,EUROGP,B
European Conference on Information Retrieval,ECIR,A
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,A
European Conference on Modelling Foundations and Applications,ECMFA,B
European Conference on Multi-Agent Systems,EUMAS,C
European Conference on Object-Oriented Programming,ECOOP,A
European Conference on Operations Research,EURO,C
European Conference on Pattern Languages of Programs,EuroPLop,National: Germany
European Conference on Software Architecture,ECSA,A
European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,C
European Conference on Technology Enhanced Learning,EC-TEL,B
European Dependable Computing Conference,EDCC,Unranked
European MPI Users' Group Conference,EuroMPI,C
European SPI,EuroSPI,B
European Symposium on Algorithms,ESA,A
European Symposium on Artificial Neural Networks,ESANN,B
European Symposium on Programming,ESOP,A
European Symposium On Research In Computer Security,ESORICS,A
European Workshop on Computational Geometry,EuroCG,C
European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,C
Eurosys Conference,EuroSys,A
Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,C
Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,B
Extending Database Technology,EDBT,A
Eye Tracking Research and Applications,ETRA,B
Field Programmable Logic and Applications,FPL,TBR
Financial Cryptography and Data Security Conference,FC,A
Flexible Query-Answering Systems,FQAS,C
Florida Artificial Intelligence Research Society Conference,FlAIRS,National: USA
Formal Methods in Computer-Aided Design,FMCAD,B
Forum on Specification and Design Languages,FDL,C
Foundations of Genetic Algorithms,FOGA,A
Foundations of Software Science and Computational Structures,FOSSACS,A
Foundations of Software Technology and Theoretical Computer Science,FST&TCS,National: India
Frontiers in Education,FIE,C
Fundamental Approaches to Software Engineering,FASE,B
Genetic and Evolutionary Computations,GECCO,A
Geometry Modeling and Processing,GMP,C
"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,C
Graph Drawing,GD,A
Graphics Interface,GI,B
Haskell Workshop,HASKELL,C
HCist - International Conference on Health and Social Care Information Systems and Technologies,HCist,Unranked
Health Informatics Conference,HIC,Australasian C
Heterogeneity in Computing Workshop,HCW,C
Human System Interaction,HSI,C
Human-Agent Interaction,HAI,B
IADIS International Conference Applied Computing,IADIS AC,C
IberoAmerican Congress on Pattern Recognition,CIARP,C
"ICT in Education, Research, and Industrial Applications",ICTERI,National: Ukraine
IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,C
IEEE Bioinformatics and Bioengineering,BIBE,C
IEEE Computer Security Foundations Symposium (was CSFW),CSF,A
IEEE Conference of the Open Innovations Association FRUCT,FRUCT,Regional
IEEE Conference on Cognitive and Computational Aspects of Situation Management,CogSIMA,National:USA
IEEE Conference on Computational Complexity,CCC,A
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,A*
IEEE Conference on Local Computer Networks,LCN,B
IEEE Conference on Mass Storage Systems and Technologies,MSST,National: USA
"IEEE Conference on Systems, Man and Cybernetics",SMC,B
IEEE Conference on Virtual Reality and 3D User Interfaces,VR,A*
IEEE Congress on Evolutionary Computation,CEC,B
IEEE Congress on Services,SERVICES,B
IEEE Consumer Communications and Networking Conference,IEEE CCNC,B
IEEE European Symposium on Security and Privacy,EuroS&P,A
IEEE European Test Symposium,ETS,TBR
IEEE Global Internet Symposium,GI,C
IEEE Global Telecommunications Conference,GLOBECOM,B
IEEE Industrial Electronics Society,IECON,TBR
IEEE Industry Applications Society Annual Conference,IAS,National: USA
"IEEE International Conference on Acoustics, Speech and Signal Processing",ICASSP,B
IEEE International Conference on Advanced Learning Technologies,ICALT,B
IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,B
IEEE International Conference on Automatic Face and Gesture Recognition,FG,B
IEEE International Conference on Automation Science and Engineering,CASE,TBR
IEEE International Conference on Big Data,BigData,B
IEEE International Conference on Blockchain and Cryptocurrency,ICBC,C
IEEE International Conference on Cloud Computing,CLOUD,B
IEEE International Conference on Cloud Computing in Emerging Markets,CCEM,National:India
IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010),CloudCom,C
IEEE International Conference on Cluster Computing,CLUSTER,B
IEEE International Conference on Cognitive Informatics,ICCI,C
IEEE International Conference on Computer and Information Technology,CIT,C
IEEE International Conference on Computer Communications,INFOCOM,A*
IEEE International Conference on Computer Design,ICCD,TBR
IEEE International Conference on Computer Vision,ICCV,A*
IEEE International Conference on Cybernetics and Intelligent Systems,CIS,C
IEEE International Conference on Data Mining,ICDM,A*
IEEE International Conference on Data Science and Advanced Analytics,DSAA,B
IEEE International Conference on Data Science and Engineering,ICDSE,National:India
IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,B
IEEE International Conference on Document Analysis and Recognition,ICDAR,A
IEEE International Conference on e-Science and Grid Computing,e-Science,B
IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),HealthCom,C
IEEE International Conference on Emerging Technologies and Factory Automation,ETFA,TBR
IEEE International Conference on Engineering of Complex Computer Systems,ICECCS,B
IEEE International Conference on Fog and Edge Computing,ICFEC,C
IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,B
IEEE International Conference on Global Software Engineering,ICGSE,C
IEEE International Conference on High Performance Computing and Communications,HPCC,C
IEEE International Conference on Image Processing,ICIP,B
IEEE International Conference on Industrial Informatics,INDIN,TBR
IEEE International Conference on Information Reuse and Integration,IRI,National: USA
IEEE International Conference on Intelligence and Security Informatics,ISI,C
IEEE International Conference on Intelligent Computer Communication and Processing,ICCP,National: Romania
IEEE International Conference on Intelligent Systems,IEEE IS,C
IEEE International Conference on Mobile Ad-hoc and Sensor Systems,MASS,B
IEEE International Conference on Multimedia and Expo,ICME,A
IEEE International Conference on Pervasive Computing and Communications,PERCOM,A*
"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,A
IEEE International Conference on Quantum Computing and Engineering,QCE,TBR
IEEE International Conference on Robotics and Automation,ICRA,A*
"IEEE International Conference on Sensing, Communication and Networking",SECON,B
"IEEE International Conference on Software Analysis, Evolution and Reengineering",SANER,A
"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,A
IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),IEEE SSE,B
IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011),VCIP,C
IEEE International Conference on Web Services,ICWS,A
"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",WiMob,B
IEEE International Enterprise Distributed Object Computing Conference,EDOC,B
IEEE International Geoscience and Remote Sensing Symposium,IGARSS,C
IEEE International Joint Conference on Neural Networks,IJCNN,B
IEEE International On-Line Testing Symposium,IOLTS,C
IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),IPDPS,A
IEEE International Performance Computing and Communications Conference,IPCCC,C
IEEE International Requirements Engineering Conference,RE,A
IEEE International Scientific Conference on Informatics,Informatics,National:Slovakia
"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",WoWMoM,B
IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning,IEEE ADPRL,C
IEEE International Symposium on Artificial Life,IEEE Alife,C
IEEE International Symposium on Circuits and Systems,ISCAS,TBR
"IEEE International Symposium on Cluster, Cloud and Grid Computing",CCGRID,B
IEEE International Symposium on Information Theory,ISIT,B
IEEE International Symposium on Multimedia,ISM,C
IEEE International Symposium on Network Computing and Applications,NCA,B
IEEE International Symposium on Parallel and Distributed Processing with Applications,ISPA,C
IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,B
IEEE International Symposium on Personal and Indoor Mobile Radio Conference,PIMRC,B
IEEE International Symposium on Rapid System Prototyping (was IEEE Symposium on Rapid Prototyping),RSP,C
IEEE International Symposium on Real-Time Distributed Computing,ISORC,C
IEEE International Symposium on Wearable Computers,ISWC,Journal Published
IEEE International Test Conference,ITC,TBR
IEEE International Working Conference on Mining Software Repositories,MSR,A
IEEE International Working Conference on Software Visualisation,VISSOFT,B
IEEE International Working Conference on Source Code Analysis and Manipulation,SCAM,C
IEEE International Workshop on Quality of Service,IWQoS,B
IEEE LAN/MAN Workshop,LANMAN,C
IEEE Network Operations and Management Symposium,NOMS,B
IEEE Pacific Visualization Symposium (was APVIS),PacificVis,B
IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,A
IEEE Region 10 Conference,Tencon,C
IEEE Software Engineering Workshop,SEW,C
IEEE Swarm Intelligence Symposium,IEEE SIS,C
IEEE Symposium on Computational Intelligence and Data Mining,CIDM,C
IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr,C
IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing,IEEE CIMSIVP,C
IEEE Symposium on Computational Intelligence for Security and Defence Applications,IEEE CISDA,C
IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,C
IEEE Symposium on Computational Intelligence in Control and Automation,IEEE CICA,C
IEEE Symposium on Computational Intelligence in Cyber Security,IEEE CICS,C
IEEE Symposium on Computer Arithmetic,ARITH,C
IEEE Symposium on Computers and Communications,ISCC,C
IEEE Symposium on Field Programmable Custom Computing Machines,FCCM,B
IEEE Symposium on Foundations of Computer Science,FOCS,A*
IEEE Symposium on High-Performance Interconnects,HOTI,National: USA
IEEE Symposium on Logic in Computer Science,LICS,A*
IEEE Symposium on Security and Privacy,SP,A*
IEEE Symposium on Visual Languages and Human-Centric Computing (was VL),VL/HCC,B
IEEE Vehicular Technology Conference,VTC,B
IEEE Visualization,IEEE VIS,A
IEEE VLSI Test Symposium,VTS,TBR
IEEE Wireless Communications and Networking Conference,WCNC,B
IEEE Workshop on Applications of Computer Vision,WACV,A
IEEE Workshop on High Performance Switching and Routing,HPSR,C
IEEE/ACIS International Conference on Computer and Information Science,ICIS,C
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,B
"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",BDCAT,C
IEEE/ACM International Conference on Computer-Aided Design,ICCAD,A
IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,A*
IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,A
IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,EUC,C
IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,A
IEEE/WIC/ACM International Conference on Web Intelligence (previously joint with Intelligent Agent Technology WI-IAT),WI,B
IFAC Conference on System Structure and Control,SSSC,C
"IFAC Symposium on Fault Detection, Supervision and Safety of Technical Processes",SAFEProcess,C
IFIP Information Security & Privacy Conference,IFIP SEC,B
IFIP International Conference on Distributed Applications and Interoperable Systems,DAIS,C
IFIP International Conference on Network and Parallel Computing,NPC,C
IFIP International Conference on Networking,Networking,B
"IFIP International Symposium on Computing Performance, Modelling, Measurement and Evaluation",PERFORMANCE,Journal Published
"IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification",FORTE,C
IFIP TC13 Conference on Human-Computer Interaction,Interact,B
IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC),DBSEC,B
IFIP WG8.1 Working Conference on the Practice of Enterprise Modeling,PoEM,unranked: not primarily CS
IFIP Working Conferences on Virtual Enterprises,PRO-VE,C
IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks,PEMWN,C
IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),IM,B
IFSA World Congress,IFSA,C
IMA International Conference on Cryptography and Coding,IMACC,C
Image and Vision Computing Conference,IVCNZ,Australasian C
Indian Conference on Human-Computer Interaction,IndiaHCI,National: India
Inductive Logic Programming,ILP,B
Industrial Simulation Conference,ISC,C
Information Hiding and Multimedia Security Workshop,IH&MMSec,C
Information Integration and Web-based Applications and Services,IIWAS,C
Information Processing in Sensor Networks,IPSN,A*
Information Security Conference,ISC,C
Information Security Practice and Experience Conference,ISPEC,C
Information Security Symposium,CERIAS,National: USA
Information Theory Workshop,ITW,B
Information Visualisation Theory and Practice,InfVis,C
Information Visualization in Biomedical Informatics,IVBI,C
Informing Science and Information Technology Education,InSITE,C
Innovations in Theoretical Computer Science,ITCS,A
Innovative Applications in AI,IAAI,C
Int. Workshop on Formal Methods for Industrial Critical Systems,FMICS,C
Integrated Formal Methods,IFM,B
Intelligent Data Analysis,IDA,B
Intelligent Distributed Computing,IDC,Unranked
Intelligent Systems in Molecular Biology,ISMB,journal published
Intelligent Vehicles Conference,IEEE-IV,B
Intelligent Virtual Agents,IVA,B
Intenational Environmental Modelling and Software Society,iEMSs,C
Interaction Design and Children (ACM),IDC,B
Interactive Entertainment,IE,Australasian C
International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,A
International Baltic Conference on Databases and Information Systems,DB&IS,Regional - Baltic
International Colloquium on Automata Languages and Programming,ICALP,A
International Colloquium on Structural Information and Communication Complexity,SIROCCO,B
International Colloquium on Theoretical Aspects of Computing,ICTAC,C
International Computer Science Symposium in Russia,CSR,National: Russia
International Computer Software and Applications Conference,COMPSAC,B
International Computing Education Research Workshop,ICER,A
"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z (Previously International Conference of B and Z Users, ZB, changed in 2008)",ABZ,C
International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region,HPC Asia,C
International Conference and Workshops on Algorithms and Computation,WALCOM,B
"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,A
International Conference Formal Concept Analysis Conference,ICFCA,C
International Conference in Business Process Management,BPM,A
International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning,MIS4TEL,National: Spain
International Conference of the Immersive Learning Research Network,iLRN,C
International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing),ATC,C
International Conference on Advanced Computing and Communications,AdCom,National: India
International Conference on Advanced Data Mining and Applications,ADMA,C
International Conference on Advanced Information Networking and Applications (was ICOIN),AINA,B
International Conference on Advanced Information Systems Engineering,CaiSE,A
International Conference on Advanced Technologies For Signal & Image Processing,ATSIP,National: Tunisia
International Conference on Advances in Computer-Human Interactions,ACHI,C
International Conference on Advances in Mobile Computing and Multimedia,MOMM,C
International Conference on Affective Computing and Intelligent,ACII,C
International Conference on Agents and Artificial Intelligence,ICAART,B
International Conference on Algorithms and Architectures for Parallel Processing,ICA3PP,C
International Conference on Algorithms and Complexity (was Italian Conference ),CIAC,C
"International Conference on Analysis of Images, Social Networks and Texts",AIST,National: Russia
International Conference on Applications of Evolutionary Computation,EvoApplications,B
International Conference on Applied Cryptography and Network Security,ACNS,B
International Conference on Artificial Intelligence,IC-AI,National: USA
International Conference on Artificial Intelligence and Law,ICAIL,C
International Conference on Artificial Intelligence and Soft Computing,ICAISC,National: Poland
International Conference on Artificial Intelligence and Statistics,AISTATS,A
International Conference on Artificial Intelligence in Education,AIED,A
International Conference on Artificial Intelligence in Medicine,AIME,B
"International Conference on Artificial Intelligence in Music, Sound, Art and Design",EvoMUSART,C
"International Conference on Artificial Intelligence: Methodology, Systems, Applications",AIMSA,National: Bulgaria
International Conference on Artificial Neural Networks,ICANN,C
International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments,EGVE,C
International Conference on Automated Deduction,CADE,A
International Conference on Automated Planning and Scheduling,ICAPS,A*
"International Conference on Availability, Reliability and Security",ARES,B
"International Conference on Broadband Communications, Networks and Systems",Broadnets,C
International Conference on Case-Based Reasoning,ICCBR,C
International Conference on Cloud Computing and Services Science,CLOSER,C
"International Conference on Collaborative Computing: Networks, Applications and Worksharing",CollaborateCom,C
International Conference on COMmunication Systems & NETworkS,COMSNETS,National:India
International Conference on Communication Systems and Applications,ICCSA,C
International Conference on Compiler Construction,CC,B
"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES,B
"International Conference on Complex, Intelligent and Software Intensive Systems",CISIS,C
"International Conference on Complexity, Future Information Systems and Risk",COMPLEXIS,C
International Conference on Computability and Complexity in Analysis,CCA,C
International Conference on Computational Collective Intelligence,ICCCI,B
International Conference on Computational Creativity,ICCC,C
International Conference on Computational Intelligence and Security,CIS,National: China
International Conference on Computational Linguistics,COLING,B
International Conference on Computational Molecular Biology,RECOMB,B
International Conference on Computational Science,ICCS,Multiconference
International Conference on Computational Science and its Applications,ICCSA,C
International Conference on Computer Analysis of Images and Patterns,CAIP,C
International Conference on Computer Communication and Networks,ICCCN,B
"International Conference on Computer Safety, Reliability and Security",SAFECOMP,B
International Conference on Computer Supported Cooperative Work in Design,CSCWD,C
International Conference on Computer Supported Education,CSEDU,B
