Title,Acronym,CORE,ERA Score,h5_index
Annual International Workshop on Presence,ISPR,C,B,
Annual Meeting of the Cognitive Science Society,CogSci,B,,32.0
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,B,,31.0
Applications of Information Visualization,IV-App,C,C,
Applications of Natural Language to Data Bases,NLDB,C,C,18.0
Applied Computing Conference,ACC,C,C,17.0
Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*,A,71.0
Artificial Intelligence Applications and Innovations,AIAI,C,,25.0
"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,C,,
Asia and South Pacific Design Automation Conference,ASPDAC,C,,38.0
"Asia Conference on Information, Computer and Communications Security",AsiaCCS,A,,
Asia Pacific Conference on Communications,APCC,C,B,11.0
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,C,,
Asia-Pacific Bioinformatics Conference,APBC,B,B,
Asia-Pacific Conference on Conceptual Modelling,APCCM,Australasian C,B,
Asia-Pacific Network Operations and Management Symposium,APNOMS,C,C,
Asia-Pacific Services Computing Conference,APSCC,C,C,
Asia-Pacific Software Engineering Conference,APSEC,C,C,16.0
Asian Conference on Computer Vision,ACCV,B,B,39.0
Asian Conference on Intelligent Information and Database Systems,ACIIDS,B,,19.0
Asian Conference on Machine Learning,ACML,Unranked,,23.0
ASIAN Symposium on Programming Languages and Systems,APLAS,B,B,
"Asilomar Conference on Signals, Systems and Computing",ACSSC,National: USA,C,33.0
Association for Computational Linguistics,ACL,A*,,215.0
Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,C,B,
Australasian Computing Education Conference (ACE),ACE,Australasian B,,17.0
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,Australasian C,C,
Australasian Conference on Information Security and Privacy,ACISP,Australasian B,B,17.0
Australasian Conference on Robotics and Automation,ACRA,Australasian C,B,
Australasian Database Conference,ADC,Australasian B,B,
Australasian Document Computing Symposium,ADCS,Australasian B,,
Australasian Information Security Conference,AISC,Australasian C,B,17.0
Australasian Joint Conference on Artificial Intelligence,AI,Australasian B,B,220.0
Australasian Language Technology Workshop,ALTA,Australasian C,,11.0
Australasian Speech Science and Technology,SST,Australasian C,B,
Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,Australasian C,,
Australian Computer Human Interaction Conference,OZCHI,Australasian B,B,18.0
Australian Data Mining Conference,AusDM,Australasian C,,
Australian Institute of Computer Ethics Conference,AICE,Australasian C,C,
Automated Software Engineering Conference,ASE,A*,A,54.0
Automation of Software Test,AST,C,C,
Body Sensor Networks,BSN,C,C,15.0
British Computer Society Conference on Human-Computer Interaction,HCI,National,A,41.0
British Machine Vision Conference,BMVC,A,B,65.0
CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CHI PLAY,Journal Published,,
Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,C,C,
Combinatorial Pattern Matching,CPM,B,B,13.0
Computability in Europe: Logic and Theory of Algorithms,CiE,C,,9.0
Computational Intelligence in Security for Information Systems,CISIS,National: Spain,B,11.0
Computer Aided Verification,CAV,A*,A,38.0
Computer Algebra in Scientific Computing,CASC,B,,9.0
"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,C,C,
Computer Graphics International,CGI,C,B,
Computer Sciences and Information Technologies,CSIT,National,,25.0
Conference for the International Simulation and Gaming Association,ISAGA,C,C,
Conference in Uncertainty in Artificial Intelligence,UAI,A,A,56.0
Conference of the Association for Machine Translation in the Americas,AMTA,National/Regional,B,
Conference of the Association of Asian-Pacific Operational Research Societies,APORS,C,C,
Conference of the European Association for Machine Translation,EAMT,C,B,17.0
Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT,C,,10.0
Conference on Agile Software Development,XP,B,,24.0
Conference on Algebra and Coalgebra in Computer Science,CALCO,B,,
Conference on Algorithmic Aspects in Information and Management,AAIM,C,C,
Conference on Combinatorial Optimization and Applications,COCOA,C,B,9.0
Conference on Computational Natural Language Learning,CoNLL,B,,39.0
CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS,FedCSIS,Multi-conference,,20.0
Conference on File and Storage Technologies,FAST,A,,39.0
Conference on Fun with Algorithms,FUN,National: Italy,B,11.0
Conference on Games (was Computational Intelligence and Games CIG),COG,C,,
Conference on Information Sciences and Systems,CISS,National: USA,C,21.0
"Conference on Innovation in Clouds, Internet and Networks",ICIN,National: France,,17.0
Conference on Innovative Data Systems Research,CIDR,A,A,32.0
Conference on Integer Programming and Combinatorial Optimization,IPCO,A,A,
Conference on Intelligent Computer Mathematics,CICM,C,,3.0
"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,A,,
Conference on Learning Theory,COLT,A*,,74.0
Conference on Robot Learning,CoRL,Unranked,,88.0
Conference on Security and Cryptography for Networks,SCN,National: Italy,B,
"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,C,,
Conference on Software in Telecommunications and Computer Networks,SOFTCOM,National: Croatia,B,
Conference on Theory and Applications of Models of Computation,TAMC,C,B,
Conference on Visualization and Data Analysis,VDA,National: USA,C,
"Cooperative Design, Visualization, and Engineering",CDVE,C,C,8.0
Cryptographers Track at RSA Conference,CT-RSA,B,,23.0
Current Trends in Theory and Practice of Computer Science,SOFSEM,B,B,13.0
Data Compression Conference,DCC,B,A,24.0
Data Warehousing and Knowledge Discovery,DaWaK,B,,12.0
"Datenbanksysteme für Business, Technologie und Web",BTW,National:Germany,,14.0
Design Automation Conf,DAC,TBR,,60.0
"Design, Automation and Test in Europe Conference",DATE,B,B,46.0
Designing Interactive Systems,DIS,A,B,49.0
Developments in eSystems Engineering,DeSE,C,,18.0
Developments in Language Theory,DLT,C,B,8.0
Digital Audio Effects Conference,DAFX,C,,
Digital Games Research Conference,DIGRA,C,C,
Digital Image Computing Techniques and Applications,DICTA,Australasian C,B,20.0
Discovery Science,DS,B,,34.0
DNA Computing and Molecular Programming,DNA,B,,49.0
Dynamic Languages Symposium,DLS,C,B,
Educational Data Mining,EDM,B,B,32.0
"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,B,,15.0
Empirical Methods in Natural Language Processing,EMNLP,A*,A,193.0
Engineering Interactive Computing Systems,EICS,Journal Published,,12.0
ETHICOMP Conference,ETHICOMP,C,B,
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,C,,
Euro Virtual Reality,Euro VR,C,,
"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,C,C,
Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,C,B,
Eurographics/IEEE Symposium on Visualization,EuroVis,B,,11.0
Euromicro Conference on Real-Time Systems,ECRTS,B,A,21.0
Euromicro Conference on Software Engineering and Advanced Applications,SEAA,B,C,23.0
"Euromicro International Conference on Parallel, Distributed and Network Based Processing",PDP,C,C,16.0
European Association for Computational Linguistics,EACL,A,,56.0
European Chapter on Combinatorial Optimization,ECCO,C,C,
European Conference on Artificial Intelligence,ECAI,A,A,36.0
European Conference on Computational Biology,ECCB,C,B,
European Conference on Computer Supported Cooperative Work,ECSCW,B,B,11.0
European Conference on Computer Vision,ECCV,A*,A,206.0
European Conference on Digital Government (was European Conference on e-Government ECEG),ECDG,C,,
European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,B,,
European Conference on Genetic Programming,EUROGP,B,B,
European Conference on Information Retrieval,ECIR,A,B,42.0
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,A,,
European Conference on Modelling Foundations and Applications,ECMFA,B,,
European Conference on Multi-Agent Systems,EUMAS,C,,
European Conference on Object-Oriented Programming,ECOOP,A,A,19.0
European Conference on Operations Research,EURO,C,C,
European Conference on Pattern Languages of Programs,EuroPLop,National: Germany,,13.0
European Conference on Software Architecture,ECSA,A,,20.0
European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,C,C,12.0
European Conference on Technology Enhanced Learning,EC-TEL,B,,19.0
European Dependable Computing Conference,EDCC,Unranked,,14.0
European MPI Users' Group Conference,EuroMPI,C,,
European SPI,EuroSPI,B,,17.0
European Symposium on Algorithms,ESA,A,A,25.0
European Symposium on Artificial Neural Networks,ESANN,B,B,18.0
European Symposium on Programming,ESOP,A,A,23.0
European Symposium On Research In Computer Security,ESORICS,A,A,33.0
European Workshop on Computational Geometry,EuroCG,C,,
European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,C,C,7.0
Eurosys Conference,EuroSys,A,,
Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,C,C,
Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,B,,
Extending Database Technology,EDBT,A,A,29.0
Eye Tracking Research and Applications,ETRA,B,,
Field Programmable Logic and Applications,FPL,TBR,,28.0
Financial Cryptography and Data Security Conference,FC,A,A,47.0
Flexible Query-Answering Systems,FQAS,C,C,
Florida Artificial Intelligence Research Society Conference,FlAIRS,National: USA,,
Formal Methods in Computer-Aided Design,FMCAD,B,,18.0
Forum on Specification and Design Languages,FDL,C,,
Foundations of Genetic Algorithms,FOGA,A,A,
Foundations of Software Science and Computational Structures,FOSSACS,A,C,17.0
Foundations of Software Technology and Theoretical Computer Science,FST&TCS,National: India,B,11.0
Frontiers in Education,FIE,C,,72.0
Fundamental Approaches to Software Engineering,FASE,B,B,18.0
Genetic and Evolutionary Computations,GECCO,A,A,
Geometry Modeling and Processing,GMP,C,B,
"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,C,C,
Graph Drawing,GD,A,A,13.0
Graphics Interface,GI,B,B,14.0
Haskell Workshop,HASKELL,C,C,
HCist - International Conference on Health and Social Care Information Systems and Technologies,HCist,Unranked,,
Health Informatics Conference,HIC,Australasian C,C,23.0
Heterogeneity in Computing Workshop,HCW,C,B,
Human System Interaction,HSI,C,C,
Human-Agent Interaction,HAI,B,,20.0
IADIS International Conference Applied Computing,IADIS AC,C,,
IberoAmerican Congress on Pattern Recognition,CIARP,C,C,12.0
"ICT in Education, Research, and Industrial Applications",ICTERI,National: Ukraine,,
IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,C,C,
IEEE Bioinformatics and Bioengineering,BIBE,C,C,20.0
IEEE Computer Security Foundations Symposium (was CSFW),CSF,A,,
IEEE Conference of the Open Innovations Association FRUCT,FRUCT,Regional,,24.0
IEEE Conference on Cognitive and Computational Aspects of Situation Management,CogSIMA,National:USA,,10.0
IEEE Conference on Computational Complexity,CCC,A,,25.0
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,A*,A,440.0
IEEE Conference on Local Computer Networks,LCN,B,A,22.0
IEEE Conference on Mass Storage Systems and Technologies,MSST,National: USA,C,
"IEEE Conference on Systems, Man and Cybernetics",SMC,B,B,35.0
IEEE Conference on Virtual Reality and 3D User Interfaces,VR,A*,,1.0
IEEE Congress on Evolutionary Computation,CEC,B,A,89.0
IEEE Congress on Services,SERVICES,B,B,
IEEE Consumer Communications and Networking Conference,IEEE CCNC,B,B,32.0
IEEE European Symposium on Security and Privacy,EuroS&P,A,,47.0
IEEE European Test Symposium,ETS,TBR,,16.0
IEEE Global Internet Symposium,GI,C,C,14.0
IEEE Global Telecommunications Conference,GLOBECOM,B,B,18.0
IEEE Industrial Electronics Society,IECON,TBR,,30.0
IEEE Industry Applications Society Annual Conference,IAS,National: USA,,8.0
"IEEE International Conference on Acoustics, Speech and Signal Processing",ICASSP,B,,129.0
IEEE International Conference on Advanced Learning Technologies,ICALT,B,B,22.0
IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,B,,23.0
IEEE International Conference on Automatic Face and Gesture Recognition,FG,B,C,
IEEE International Conference on Automation Science and Engineering,CASE,TBR,,29.0
IEEE International Conference on Big Data,BigData,B,,54.0
IEEE International Conference on Blockchain and Cryptocurrency,ICBC,C,,39.0
IEEE International Conference on Cloud Computing,CLOUD,B,B,28.0
IEEE International Conference on Cloud Computing in Emerging Markets,CCEM,National:India,,
IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010),CloudCom,C,,13.0
IEEE International Conference on Cluster Computing,CLUSTER,B,A,29.0
IEEE International Conference on Cognitive Informatics,ICCI,C,C,10.0
IEEE International Conference on Computer and Information Technology,CIT,C,C,10.0
IEEE International Conference on Computer Communications,INFOCOM,A*,,80.0
IEEE International Conference on Computer Design,ICCD,TBR,,41.0
IEEE International Conference on Computer Vision,ICCV,A*,A,291.0
IEEE International Conference on Cybernetics and Intelligent Systems,CIS,C,C,12.0
IEEE International Conference on Data Mining,ICDM,A*,A,50.0
IEEE International Conference on Data Science and Advanced Analytics,DSAA,B,,26.0
IEEE International Conference on Data Science and Engineering,ICDSE,National:India,,
IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,B,B,25.0
IEEE International Conference on Document Analysis and Recognition,ICDAR,A,,
IEEE International Conference on e-Science and Grid Computing,e-Science,B,,
IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),HealthCom,C,,
IEEE International Conference on Emerging Technologies and Factory Automation,ETFA,TBR,,34.0
IEEE International Conference on Engineering of Complex Computer Systems,ICECCS,B,A,14.0
IEEE International Conference on Fog and Edge Computing,ICFEC,C,,
IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,B,A,25.0
IEEE International Conference on Global Software Engineering,ICGSE,C,C,
IEEE International Conference on High Performance Computing and Communications,HPCC,C,B,20.0
IEEE International Conference on Image Processing,ICIP,B,B,66.0
IEEE International Conference on Industrial Informatics,INDIN,TBR,,21.0
IEEE International Conference on Information Reuse and Integration,IRI,National: USA,,21.0
IEEE International Conference on Intelligence and Security Informatics,ISI,C,C,18.0
IEEE International Conference on Intelligent Computer Communication and Processing,ICCP,National: Romania,C,
IEEE International Conference on Intelligent Systems,IEEE IS,C,C,86.0
IEEE International Conference on Mobile Ad-hoc and Sensor Systems,MASS,B,B,20.0
IEEE International Conference on Multimedia and Expo,ICME,A,B,46.0
IEEE International Conference on Pervasive Computing and Communications,PERCOM,A*,A,29.0
"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,A,,
IEEE International Conference on Quantum Computing and Engineering,QCE,TBR,,28.0
IEEE International Conference on Robotics and Automation,ICRA,A*,,122.0
"IEEE International Conference on Sensing, Communication and Networking",SECON,B,,27.0
"IEEE International Conference on Software Analysis, Evolution and Reengineering",SANER,A,,39.0
"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,A,,
IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),IEEE SSE,B,,
IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011),VCIP,C,,18.0
IEEE International Conference on Web Services,ICWS,A,A,26.0
"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",WiMob,B,,19.0
IEEE International Enterprise Distributed Object Computing Conference,EDOC,B,B,21.0
IEEE International Geoscience and Remote Sensing Symposium,IGARSS,C,C,40.0
IEEE International Joint Conference on Neural Networks,IJCNN,B,A,
IEEE International On-Line Testing Symposium,IOLTS,C,C,18.0
IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),IPDPS,A,,
IEEE International Performance Computing and Communications Conference,IPCCC,C,B,20.0
IEEE International Requirements Engineering Conference,RE,A,A,32.0
IEEE International Scientific Conference on Informatics,Informatics,National:Slovakia,,167.0
"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",WoWMoM,B,,24.0
IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning,IEEE ADPRL,C,C,
IEEE International Symposium on Artificial Life,IEEE Alife,C,A,
IEEE International Symposium on Circuits and Systems,ISCAS,TBR,,39.0
"IEEE International Symposium on Cluster, Cloud and Grid Computing",CCGRID,B,A,
IEEE International Symposium on Information Theory,ISIT,B,B,46.0
IEEE International Symposium on Multimedia,ISM,C,C,46.0
IEEE International Symposium on Network Computing and Applications,NCA,B,A,17.0
IEEE International Symposium on Parallel and Distributed Processing with Applications,ISPA,C,B,15.0
IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,B,C,21.0
IEEE International Symposium on Personal and Indoor Mobile Radio Conference,PIMRC,B,B,
IEEE International Symposium on Rapid System Prototyping (was IEEE Symposium on Rapid Prototyping),RSP,C,,
IEEE International Symposium on Real-Time Distributed Computing,ISORC,C,,12.0
IEEE International Symposium on Wearable Computers,ISWC,Journal Published,,22.0
IEEE International Test Conference,ITC,TBR,B,32.0
IEEE International Working Conference on Mining Software Repositories,MSR,A,C,
IEEE International Working Conference on Software Visualisation,VISSOFT,B,,
IEEE International Working Conference on Source Code Analysis and Manipulation,SCAM,C,,15.0
IEEE International Workshop on Quality of Service,IWQoS,B,B,22.0
IEEE LAN/MAN Workshop,LANMAN,C,,
IEEE Network Operations and Management Symposium,NOMS,B,B,27.0
IEEE Pacific Visualization Symposium (was APVIS),PacificVis,B,,
IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,A,A,28.0
IEEE Region 10 Conference,Tencon,C,,30.0
IEEE Software Engineering Workshop,SEW,C,C,
IEEE Swarm Intelligence Symposium,IEEE SIS,C,C,
IEEE Symposium on Computational Intelligence and Data Mining,CIDM,C,C,
IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr,C,C,
IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing,IEEE CIMSIVP,C,C,
IEEE Symposium on Computational Intelligence for Security and Defence Applications,IEEE CISDA,C,C,
IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,C,C,14.0
IEEE Symposium on Computational Intelligence in Control and Automation,IEEE CICA,C,C,
IEEE Symposium on Computational Intelligence in Cyber Security,IEEE CICS,C,C,
IEEE Symposium on Computer Arithmetic,ARITH,C,C,
IEEE Symposium on Computers and Communications,ISCC,C,B,26.0
IEEE Symposium on Field Programmable Custom Computing Machines,FCCM,B,,28.0
IEEE Symposium on Foundations of Computer Science,FOCS,A*,A,55.0
IEEE Symposium on High-Performance Interconnects,HOTI,National: USA,B,
IEEE Symposium on Logic in Computer Science,LICS,A*,A,30.0
IEEE Symposium on Security and Privacy,SP,A*,,112.0
IEEE Symposium on Visual Languages and Human-Centric Computing (was VL),VL/HCC,B,,
IEEE Vehicular Technology Conference,VTC,B,B,46.0
IEEE Visualization,IEEE VIS,A,A,89.0
IEEE VLSI Test Symposium,VTS,TBR,,18.0
IEEE Wireless Communications and Networking Conference,WCNC,B,B,24.0
IEEE Workshop on Applications of Computer Vision,WACV,A,A,109.0
IEEE Workshop on High Performance Switching and Routing,HPSR,C,C,14.0
IEEE/ACIS International Conference on Computer and Information Science,ICIS,C,C,12.0
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,B,,
"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",BDCAT,C,,9.0
IEEE/ACM International Conference on Computer-Aided Design,ICCAD,A,A,41.0
IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,A*,A,
IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,A,,37.0
IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,EUC,C,C,
IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,A,A,86.0
IEEE/WIC/ACM International Conference on Web Intelligence (previously joint with Intelligent Agent Technology WI-IAT),WI,B,,24.0
IFAC Conference on System Structure and Control,SSSC,C,C,
"IFAC Symposium on Fault Detection, Supervision and Safety of Technical Processes",SAFEProcess,C,C,
IFIP Information Security & Privacy Conference,IFIP SEC,B,,
IFIP International Conference on Distributed Applications and Interoperable Systems,DAIS,C,,
IFIP International Conference on Network and Parallel Computing,NPC,C,C,7.0
IFIP International Conference on Networking,Networking,B,,37.0
"IFIP International Symposium on Computing Performance, Modelling, Measurement and Evaluation",PERFORMANCE,Journal Published,,
"IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification",FORTE,C,A,
IFIP TC13 Conference on Human-Computer Interaction,Interact,B,,129.0
IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC),DBSEC,B,,
IFIP WG8.1 Working Conference on the Practice of Enterprise Modeling,PoEM,unranked: not primarily CS,,
IFIP Working Conferences on Virtual Enterprises,PRO-VE,C,C,
IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks,PEMWN,C,,
IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),IM,B,,3.0
IFSA World Congress,IFSA,C,B,
IMA International Conference on Cryptography and Coding,IMACC,C,,
Image and Vision Computing Conference,IVCNZ,Australasian C,B,16.0
Indian Conference on Human-Computer Interaction,IndiaHCI,National: India,,
Inductive Logic Programming,ILP,B,B,
Industrial Simulation Conference,ISC,C,C,
Information Hiding and Multimedia Security Workshop,IH&MMSec,C,,23.0
Information Integration and Web-based Applications and Services,IIWAS,C,C,15.0
Information Processing in Sensor Networks,IPSN,A*,A,26.0
Information Security Conference,ISC,C,B,46.0
Information Security Practice and Experience Conference,ISPEC,C,B,10.0
Information Security Symposium,CERIAS,National: USA,C,
Information Theory Workshop,ITW,B,B,24.0
Information Visualisation Theory and Practice,InfVis,C,,
Information Visualization in Biomedical Informatics,IVBI,C,C,
Informing Science and Information Technology Education,InSITE,C,,14.0
Innovations in Theoretical Computer Science,ITCS,A,,35.0
Innovative Applications in AI,IAAI,C,,
Int. Workshop on Formal Methods for Industrial Critical Systems,FMICS,C,C,
Integrated Formal Methods,IFM,B,B,12.0
Intelligent Data Analysis,IDA,B,A,20.0
Intelligent Distributed Computing,IDC,Unranked,,13.0
Intelligent Systems in Molecular Biology,ISMB,journal published,A,
Intelligent Vehicles Conference,IEEE-IV,B,,
Intelligent Virtual Agents,IVA,B,B,23.0
Intenational Environmental Modelling and Software Society,iEMSs,C,,
Interaction Design and Children (ACM),IDC,B,B,
Interactive Entertainment,IE,Australasian C,B,21.0
International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,A,,
International Baltic Conference on Databases and Information Systems,DB&IS,Regional - Baltic,B,
International Colloquium on Automata Languages and Programming,ICALP,A,A,33.0
